,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,4545000000.0,2005000000.0,3471000000.0,1727000000.0
Repurchase Of Capital Stock,-694000000.0,0.0,0.0,-26000000.0
Repayment Of Debt,-1578000000.0,-1650000000.0,-2076000000.0,-5163000000.0
Issuance Of Debt,994000000.0,0.0,34000000.0,5837000000.0
Capital Expenditure,-2092000000.0,-1715000000.0,-1180000000.0,-1217000000.0
Interest Paid Supplemental Data,503000000.0,562000000.0,560000000.0,598000000.0
Income Tax Paid Supplemental Data,1064000000.0,716000000.0,591000000.0,582000000.0
End Cash Position,2900000000.0,1655000000.0,1757000000.0,844000000.0
Beginning Cash Position,1655000000.0,1757000000.0,844000000.0,1137000000.0
Effect Of Exchange Rate Changes,-97000000.0,-52000000.0,5000000.0,-11000000.0
Changes In Cash,1342000000.0,-50000000.0,908000000.0,-282000000.0
Financing Cash Flow,-2512000000.0,-2382000000.0,-2824000000.0,-873000000.0
Cash Flow From Continuing Financing Activities,-2512000000.0,-2382000000.0,-2824000000.0,-873000000.0
Net Other Financing Charges,-200000000.0,-144000000.0,-115000000.0,-89000000.0
Proceeds From Stock Option Exercised,281000000.0,223000000.0,137000000.0,146000000.0
Cash Dividends Paid,-1317000000.0,-848000000.0,-699000000.0,-1734000000.0
Common Stock Dividend Paid,-1317000000.0,-848000000.0,-699000000.0,-1734000000.0
Net Common Stock Issuance,-694000000.0,0.0,0.0,-26000000.0
Common Stock Payments,-694000000.0,0.0,0.0,-26000000.0
Net Issuance Payments Of Debt,-582000000.0,-1613000000.0,-2147000000.0,830000000.0
Net Short Term Debt Issuance,2000000.0,37000000.0,-105000000.0,156000000.0
Net Long Term Debt Issuance,-584000000.0,-1650000000.0,-2042000000.0,674000000.0
Long Term Debt Payments,-1578000000.0,-1650000000.0,-2076000000.0,-5163000000.0
Long Term Debt Issuance,994000000.0,0.0,34000000.0,5837000000.0
Investing Cash Flow,-2783000000.0,-1388000000.0,-919000000.0,-2353000000.0
Cash Flow From Continuing Investing Activities,-2783000000.0,-1388000000.0,-919000000.0,-2353000000.0
Net Other Investing Changes,-108000000.0,-93000000.0,-58000000.0,-93000000.0
Net Investment Purchase And Sale,-478000000.0,-597000000.0,313000000.0,-1444000000.0
Sale Of Investment,214000000.0,249000000.0,787000000.0,0.0
Purchase Of Investment,-692000000.0,-846000000.0,-474000000.0,-1444000000.0
Net Investment Properties Purchase And Sale,0.0,120000000.0,0.0,0.0
Sale Of Investment Properties,0.0,120000000.0,0.0,0.0
Net Business Purchase And Sale,-105000000.0,897000000.0,6000000.0,401000000.0
Sale Of Business,137000000.0,955000000.0,109000000.0,434000000.0
Purchase Of Business,-242000000.0,-58000000.0,-103000000.0,-33000000.0
Capital Expenditure Reported,-2092000000.0,-1715000000.0,-1180000000.0,-1217000000.0
Operating Cash Flow,6637000000.0,3720000000.0,4651000000.0,2944000000.0
Cash Flow From Continuing Operating Activities,6637000000.0,3720000000.0,4651000000.0,2944000000.0
Change In Working Capital,-216000000.0,-1731000000.0,404000000.0,-839000000.0
Change In Other Working Capital,,,,-6000000.0
Change In Other Current Liabilities,-76000000.0,23000000.0,-26000000.0,19000000.0
Change In Other Current Assets,111000000.0,-89000000.0,385000000.0,242000000.0
Change In Payables And Accrued Expense,662000000.0,800000000.0,6000000.0,-3531000000.0
Change In Payable,662000000.0,800000000.0,6000000.0,-3531000000.0
Change In Account Payable,724000000.0,704000000.0,160000000.0,-3330000000.0
Change In Tax Payable,-62000000.0,96000000.0,-154000000.0,-201000000.0
Change In Income Tax Payable,-62000000.0,96000000.0,-154000000.0,-201000000.0
Change In Inventory,-254000000.0,-737000000.0,75000000.0,86000000.0
Change In Receivables,-659000000.0,-1728000000.0,-36000000.0,2345000000.0
Other Non Cash Items,220000000.0,-256000000.0,7000000.0,241000000.0
Stock Based Compensation,293000000.0,313000000.0,324000000.0,397000000.0
Asset Impairment Charge,,-347000000.0,-65000000.0,12515000000.0
Amortization Of Securities,410000000.0,368000000.0,305000000.0,396000000.0
Deferred Tax,28000000.0,-39000000.0,-31000000.0,-1248000000.0
Deferred Income Tax,28000000.0,-39000000.0,-31000000.0,-1248000000.0
Depreciation Amortization Depletion,1759000000.0,1669000000.0,1704000000.0,1996000000.0
Depreciation And Amortization,1759000000.0,1669000000.0,1704000000.0,1996000000.0
Amortization Cash Flow,314000000.0,301000000.0,302000000.0,371000000.0
Amortization Of Intangibles,314000000.0,301000000.0,302000000.0,371000000.0
Depreciation,1445000000.0,1368000000.0,1402000000.0,1625000000.0
Operating Gains Losses,-132000000.0,-96000000.0,10000000.0,-28000000.0
Pension And Employee Benefit Expense,,,,-16000000.0
Earnings Losses From Equity Investments,-132000000.0,-96000000.0,10000000.0,-28000000.0
Net Income From Continuing Operations,4275000000.0,3492000000.0,1928000000.0,-10486000000.0
